M6PR	PLIN3
ACTL6B	SMARCB1
ACTL6B	ARID4B
ACTL6B	SMARCA2
ACTL6B	SMARCC2
ACTL6B	RUVBL1
ACTL6B	PHF10
ACTL6B	ARID4A
ACTL6B	DPF1
ACTL6B	SMARCA4
ACTL6B	SMARCD1
ACTL6B	SMARCD2
ACTL6B	RUVBL2
KIF22	UBC
KIF22	KIF4A
KIF22	KIF4B
KIF22	KIF26A
CEACAM1	CEACAM6
CEACAM1	FLNA
GOLGA5	RAB1A
PPP2R5B	SGOL1
PIGB	PIGV
PIGB	PIGF
PIGB	SEMA6D
PIGB	PIGO
PIGB	PIGM
TRIP13	USP10
TRIP13	USP32
P4HA2	PYCRL
P4HA2	PRODH2
P4HA2	P4HB
P4HA2	PYCR1
KRT14	KRT5
KRT14	KRT3
FGF4	MYF5
FGF4	FGF6
FGF4	MYOG
FGF4	KDR
FGF4	LEF1
FGF4	FGF7
FGF4	FGFR4
FGF4	GREM1
FGF4	SOX2
FGF4	NOG
FGF4	FGFR3
FGF4	FGF9
FGF4	MSX1
FGF4	FGFR1
FGF4	FGFR2
TIMM21	TOMM22
TIMM21	TOMM40
TIMM21	TIMM23
TIMM21	TIMM44
TIMM21	TOMM70A
TIMM21	TIMM50
TIMM21	TOMM6
REXO1	TCEB3
IL4R	MAPK14
IL4R	IL6
IL4R	PIK3CA
IL4R	PIK3R1
IL4R	STAT5B
IL4R	STAT6
IL4R	IRS1
IL4R	SOCS5
IL4R	STAT5A
IL4R	JAK1
IL4R	INPP5D
IL4R	IRF4
IL4R	JAK2
IL4R	JAK3
IL4R	SHC1
KEAP1	KLHL20
KEAP1	TNFAIP1
KEAP1	SPOP
KEAP1	KLHL8
KEAP1	SPOPL
KEAP1	NEIL2
KEAP1	PRKCB
KEAP1	PRKCE
KEAP1	KLHL3
KEAP1	KLHL22
KEAP1	KLHL25
KEAP1	KLHL7
KEAP1	UBC
KEAP1	KLHL9
KEAP1	NFE2L1
KEAP1	KLHL12
KEAP1	SLK
KEAP1	KLHL21
KEAP1	KLHDC5
KEAP1	SQSTM1
KEAP1	NFE2L2
KEAP1	PRKCA
KEAP1	KLHL13
RDH8	RETSAT
P2RY10	PROKR2
P2RY10	RGS2
P2RY10	PLCB2
P2RY10	PIK3CA
P2RY10	PROK1
P2RY10	PIK3R1
P2RY10	PLCB3
P2RY10	PTGER1
P2RY10	PROK2
P2RY10	PTAFR
P2RY10	TACR3
P2RY10	TACR1
P2RY10	PROKR1
P2RY10	P2RY6
P2RY10	TRHR
P2RY10	P2RY2
P2RY10	XCR1
P2RY10	TAC1
P2RY10	UTS2R
P2RY10	PLCB4
P2RY10	PLCB1
P2RY10	TRIO
P2RY10	QRFP
P2RY10	SAA1
P2RY10	XCL1
P2RY10	PTGFR
P2RY10	TACR2
P2RY10	QRFPR
TNS1	VCL
TNS1	ZYX
NGFR	RTN4R
NGFR	RIPK2
NGFR	PSENEN
NGFR	PRDM4
NGFR	PLCG1
NGFR	SORT1
NGFR	SMPD2
NGFR	TRAF4
NGFR	PIK3CA
NGFR	YWHAE
NGFR	SHC2
NGFR	TP53
NGFR	RPS27A
NGFR	PIK3R1
NGFR	NTRK2
NGFR	RHOC
NGFR	PRKCI
NGFR	NGFRAP1
NGFR	ZNF274
NGFR	SP1
NGFR	SALL2
NGFR	RTN4
NGFR	TRAF6
NGFR	UBC
NGFR	RAC1
NGFR	NTRK3
NGFR	PSEN2
NGFR	SORCS3
NGFR	SHC3
NGFR	PRKCZ
NGFR	SQSTM1
NGFR	RELA
NGFR	SOS1
NGFR	UBA52
NGFR	NTF3
NGFR	RHOA
NGFR	SHC1
NGFR	SORCS2
NGFR	NTRK1
NTN1	WASL
NTN1	PLCG1
NTN1	PIK3CA
NTN1	PIK3R1
NTN1	PAK1
NTN1	PITPNA
NTN1	SIAH2
NTN1	YES1
NTN1	UNC5A
NTN1	UNC5B
NTN1	TRIO
NTN1	PTPN11
NTN1	PTK2
NTN1	RAC1
NTN1	SIAH1
NTN1	SRC
NTN1	UNC5D
NTN1	RHOA
NTN1	UNC5C
NTN1	SLIT2
NTN1	SLIT3
TRO	TROAP
MNT	SIN3A
LAPTM4A	UBC
ASNS	GOT2
ASNS	ASS1
ASNS	ASPA
ASNS	CAD
ASNS	ATF4
ASNS	IL4I1
ASNS	UBC
ASNS	EPRS
ASNS	GOT1
ASNS	IARS
ASNS	GARS
DRD4	HEBP1
DRD4	PDYN
DRD4	GRM6
DRD4	OPRD1
DRD4	NPY
DRD4	S1PR4
DRD4	TAS2R3
DRD4	TAS2R4
DRD4	TAS2R5
DRD4	MCHR1
DRD4	GALR3
DRD4	TAS2R16
DRD4	SSTR4
DRD4	NMUR2
DRD4	HRH4
DRD4	MTNR1B
DRD4	POMC
DRD4	KNG1
DRD4	OPRK1
DRD4	GAL
DRD4	SSTR1
DRD4	SLC6A3
DRD4	GPR17
DRD4	MCHR2
DRD4	SST
DRD4	HTR5A
DRD4	SSTR5
DRD4	RGS20
DRD4	GPER
DRD4	OXGR1
DRD4	GALR1
DRD4	PNOC
DRD4	FPR1
DRD4	MTNR1A
DRD4	S1PR1
DRD4	NMUR1
